group,sub,symbol,amt_1d,chg_1d,amt_5d,chg_5d,amt_20d,chg_20d,amt_60d,chg_60d,amt_1y,chg_1y,amt_ytd,ytd
電子–電子零組件,電子上游-PCB-材料設備,台光電,43.3,0.97,430.3604,-6.08,1099.13625,3,3464.05761,28.75,11169.51164,178.02,430.3604,-6.08
電機機械,傳產-電機,高力,57.8,9.86,150.64557,-0.34,368.40994,13.11,1291.17653,37.95,3086.23562,99.26,150.64557,-0.34
電子–半導體,電子上游-晶圓材料,環球晶,30.2,-4.22,208.07336,10.84,396.2875,17.76,1069.62511,-7.05,3275.48358,35.22,208.07336,10.84
電子–電子零組件,電子上游-PCB-製造,定穎投控,89.3,9.84,252.22121,-0.39,766.88803,9.48,2507.60591,25.12,5219.98489,135.45,252.22121,-0.39
電子–電子零組件,電子上游-被動元件,國巨*,53.8,1.89,706.37087,2.81,1461.59861,-0.84,6100.06974,33.43,10114.89992,92,706.37087,2.81
電子–通信網路,電子中游-網通,智邦,104,-3.95,339.33139,6.75,1416.86546,27.14,3884.36371,22.22,11169.08908,83.34,339.33139,6.75
電子–電子零組件,電子上游-PCB-材料設備,揚博,5.33,-2.35,18.21886,5.37,71.0848,12.83,122.96284,37.39,336.62253,55.32,18.21886,5.37
電子–半導體,電子上游-IC-封測,南茂,42.1,10,130.15007,12.41,304.55361,12.05,804.05886,74.34,941.02512,87.94,130.15007,12.41
電子–電腦及週邊設備,電子下游-筆記型電腦,緯創,72.6,-1.32,516.43833,0.33,1191.0972,1,4297.47896,3.78,12553.08783,51.61,516.43833,0.33
電子–半導體,電子上游-IC-封測,精測,9.65,0,64.55087,-4.16,368.73479,8.42,1004.48455,28.45,2275.863,186.72,64.55087,-4.16
電子–半導體,電子上游-IC-封測,旺矽,46.4,4.48,151.45878,-5.78,546.64338,-9.59,1866.45154,25.82,6058.09819,142.11,151.45878,-5.78
電子–半導體,電子上游-IC-代工,穩懋,125,9.37,251.02068,7.92,898.52482,18.26,1595.23742,102.98,2240.85003,108.09,251.02068,7.92
電子–電腦及週邊設備,電子上游-記憶體銷售,宜鼎,27.6,-5.12,183.5317,11.98,472.01796,35.08,1484.94285,62.06,2179.92534,239.63,183.5317,11.98
電子–電腦及週邊設備,電子中游-電源供應器,光寶科,18.7,-1.24,183.62342,-1.22,517.26125,1.57,2351.43142,-3.87,6330.23345,64.64,183.62342,-1.22
電子–其他電子,電子中游-儀器設備工程,漢唐,22.9,-0.5,236.63279,6.43,926.31167,21.69,1630.30896,18.68,4682.84931,114.84,236.63279,6.43
電子–電子零組件,電子上游-連接元件,富世達,25.5,0,157.08716,-16,547.80391,-9.3,2049.07711,18.18,5831.39043,108.72,157.08716,-16
電子–其他電子,電子中游-散熱零組件,雙鴻,36.9,2.22,174.80527,-6.44,704.52578,4.88,2393.17148,4.42,7095.79946,53.37,174.80527,-6.44
電子–電子零組件,電子上游-被動元件,蜜望實,16.3,9.94,32.96724,-7.56,239.57838,-12.92,618.85618,101.78,727.06385,177.97,32.96724,-7.56
電子–半導體,電子上游-IC-導線架,長科*,2.71,2.87,35.99599,1.34,78.39159,7.27,218.64738,21.81,300.53062,46.41,35.99599,1.34
電子–光電,電子上游-LED照明及光元件,惠特,5.9,-4.38,53.39647,-10.68,343.26968,7.73,526.39297,73.58,872.8308,17.84,53.39647,-10.68
電子–通信網路,電子上游-被動元件,上詮,8.66,0,110.33583,-6.34,323.75839,6.33,939.66188,19.03,3232.35356,55.25,110.33583,-6.34
塑膠工業,傳產-塑膠,南亞,113,-7.76,459.32716,11.3,993.96051,7.89,3456.4554,59.9,5972.15519,139.03,459.32716,11.3
電子–半導體,電子上游-IC-半導體設備,鴻勁,41,5.11,212.70502,-8.61,632.94717,5.21,1140.83658,0,1140.83658,0,212.70502,-8.61
電子–半導體,電子上游-記憶體銷售,品安,34.9,-3.88,38.50705,17.1,82.20316,25.67,380.29513,37.83,886.06543,198.24,38.50705,17.1
電子–電子通路,電子上游-IC-通路,方土昶,1.86,-7.51,31.51107,16.02,88.64067,78.47,128.98067,194.86,141.86386,294.29,31.51107,16.02
電子–電子通路,電子上游-IC-通路,至上,49.7,-4.79,236.766,9.1,450.92137,8.81,1735.82566,78.34,2010.714,53.8,236.766,9.1
航運業,傳產-航運,漢翔,16.2,-3.28,35.90288,8.5,89.00625,7.86,322.68817,-5.67,2410.31329,29.94,35.90288,8.5
電子–半導體,電子上游-ABF,景碩,50.3,1.81,333.48083,4.4,658.09697,4.08,2140.72722,24.34,3748.87497,74.99,333.48083,4.4
電子–其他電子,電子上游-連接元件,貿聯-KY,41.3,1.06,327.05921,-7.24,955.00256,-4.08,3419.93297,28.77,8790.97625,143.1,327.05921,-7.24
